name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,category,foldseek_match_coverage
MGC_CANDIDATE_583,5,25,5,2,3.83,0.83,0.766,0.415,0.0,0.0,0.415,0.415,1.0,0.415,1.0,0.6,0.4,0.0,1.6094379124341003,2.23606797749979,0.3,2.5533333333333337,small,0.0,0.0,MGC,0.0
RANDOM_MGC_106,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_60,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_220,36,1296,36,30,32.525,26.525,0.9034722222222222,0.8841666666666667,0.005397729885057469,0.07346924448405243,0.867,0.81375,0.979,0.794,1.0,1.0,0.0,0.0,3.58351893845611,6.0,0.3,3.0115740740740744,medium,8.213943486967729,7.951172912816173,MGC,1.0
RANDOM_MGC_8,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_29,4,16,4,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3862943611198906,2.0,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_10,6,36,6,2,4.308,0.308,0.718,0.154,0.0,0.0,0.154,0.3655,1.0,0.154,1.0,0.6666666666666666,0.0,0.3333333333333333,1.791759469228055,2.449489742783178,0.3,2.3933333333333335,small,0.0,0.0,MGC,0.0
BGC0002389,9,81,9,6,8.716,5.715999999999999,0.9684444444444443,0.9526666666666666,8.186666666666682e-05,0.009048020041239233,0.958,0.958,1.0,0.941,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.228148148148148,small,73.87742748112802,72.13364511704553,MIBiG,1.0
MGC_CANDIDATE_18,5,25,5,2,3.7699999999999996,0.77,0.7539999999999999,0.385,0.0,0.0,0.385,0.385,1.0,0.385,1.0,0.6,0.4,0.0,1.6094379124341003,2.23606797749979,0.3,2.513333333333333,small,0.0,0.0,MGC,0.0
MGC_CANDIDATE_1,9,81,9,6,7.774,4.773999999999999,0.8637777777777778,0.7956666666666665,0.0011602666666666649,0.034062687308353476,0.813,0.813,1.0,0.752,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.879259259259259,small,16.551183195681624,14.55160193849738,MGC,1.0
MGC_CANDIDATE_9,9,81,9,6,5.733,2.7329999999999997,0.637,0.45549999999999996,0.0009391000000000002,0.030644738536982172,0.46,0.457,1.0,0.414,1.0,0.3333333333333333,0.6666666666666666,0.0,2.197224577336219,3.0,0.3,2.1233333333333335,small,10.996993809991471,5.074280526568764,MGC,0.0
RANDOM_MGC_158,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
